TagName                    ,Count
boot                       ,24151
networking                 ,23058
command-line               ,22563
14.04                      ,20405
drivers                    ,18281
dual-boot                  ,17702
apt                        ,17588
16.04                      ,17209
12.04                      ,16606
server                     ,16566
18.04                      ,15465
partitioning               ,13737
20.04                      ,13727
grub2                      ,12986
wireless                   ,12782
nvidia                     ,12176
bash                       ,11236
gnome                      ,11198
package-management         ,10537
unity                      ,9939
upgrade                    ,9676
system-installation        ,9565
sound                      ,9174
usb                        ,8924
software-installation      ,8912
kernel                     ,8421
permissions                ,7511
mount                      ,7260
updates                    ,7156
22.04                      ,7051
scripts                    ,6674
installation               ,6333
keyboard                   ,6300
ssh                        ,6228
graphics                   ,6119
kubuntu                    ,5953
virtualbox                 ,5566
hard-drive                 ,5520
xubuntu                    ,5346
uefi                       ,5335
python                     ,5174
lubuntu                    ,4985
11.10                      ,4984
shortcut-keys              ,4897
windows                    ,4765
multiple-monitors          ,4693
apache2                    ,4589
firefox                    ,4572
login                      ,4502
xorg                       ,4493
nautilus                   ,4371
network-manager            ,4242
dpkg                       ,4164
bluetooth                  ,4000
wine                       ,3896
12.10                      ,3865
display                    ,3863
suspend                    ,3862
pulseaudio                 ,3751
mouse                      ,3589
13.04                      ,3452
printing                   ,3402
google-chrome              ,3397
internet                   ,3344
dell                       ,3259
java                       ,3207
software-recommendation    ,3132
touchpad                   ,3115
kde                        ,3028
mysql                      ,2954
video                      ,2951
sudo                       ,2903
dependencies               ,2903
files                      ,2852
filesystem                 ,2851
11.04                      ,2836
power-management           ,2816
live-usb                   ,2808
software-center            ,2781
samba                      ,2739
password                   ,2724
icons                      ,2652
13.10                      ,2628
php                        ,2612
backup                     ,2589
encryption                 ,2557
ssd                        ,2551
themes                     ,2549
compiling                  ,2545
alsa                       ,2516
dns                        ,2492
security                   ,2491
ubuntu-touch               ,2474
lenovo                     ,2471
launcher                   ,2463
windows-7                  ,2438
gnome-terminal             ,2426
shutdown                   ,2422
keyboard-layout            ,2388
snap                       ,2363
laptop                     ,2315
vpn                        ,2297
uninstall                  ,2273
libreoffice                ,2254
windows-10                 ,2219
ati                        ,2203
17.10                      ,2176
virtualization             ,2171
cron                       ,2155
ethernet                   ,2143
gparted                    ,2129
15.04                      ,2108
gnome-shell                ,2097
fonts                      ,2097
ppa                        ,2069
games                      ,2043
intel-graphics             ,2007
display-resolution         ,2005
64-bit                     ,1984
hdmi                       ,1968
xfce                       ,1961
directory                  ,1946
hp                         ,1940
10.04                      ,1936
screen                     ,1925
application-development    ,1918
compiz                     ,1917
android                    ,1866
10.10                      ,1864
gui                        ,1853
update-manager             ,1852
data-recovery              ,1788
startup                    ,1779
root                       ,1749
freeze                     ,1731
lightdm                    ,1708
asus                       ,1691
windows-8                  ,1655
brightness                 ,1655
systemd                    ,1648
configuration              ,1634
15.10                      ,1626
battery                    ,1625
steam                      ,1621
hardware                   ,1618
chromium                   ,1593
usb-drive                  ,1552
intel                      ,1544
raid                       ,1543
users                      ,1527
repository                 ,1524
vmware                     ,1495
ram                        ,1491
performance                ,1487
amd-graphics               ,1473
crash                      ,1469
vlc                        ,1444
broadcom                   ,1437
python3                    ,1433
pdf                        ,1420
juju                       ,1419
cpu                        ,1419
desktop-environments       ,1400
fstab                      ,1400
swap                       ,1389
19.04                      ,1379
thinkpad                   ,1363
radeon                     ,1361
windows-subsystem-for-linux,1350
bios                       ,1344
indicator                  ,1334
flash                      ,1321
19.10                      ,1321
ubuntu-one                 ,1313
email                      ,1311
iptables                   ,1306
microphone                 ,1291
17.04                      ,1288
mac                        ,1286
login-screen               ,1282
webcam                     ,1278
wubi                       ,1271
docker                     ,1266
skype                      ,1251
firewall                   ,1235
disk-usage                 ,1234
proxy                      ,1233
services                   ,1231
disk                       ,1229
ntfs                       ,1228
thunderbird                ,1226
remote-desktop             ,1212
gcc                        ,1204
maas                       ,1192
raspberrypi                ,1188
openvpn                    ,1175
gtk                        ,1175
text-processing            ,1171
14.10                      ,1163
iso                        ,1158
bootloader                 ,1141
home-directory             ,1131
kvm-virtualization         ,1120
external-hdd               ,1109
cuda                       ,1095
vnc                        ,1093
lvm                        ,1092
headphones                 ,1091
monitor                    ,1088
hibernate                  ,1070
dhcp                       ,1056
.desktop                   ,1054
reboot                     ,1050
downloads                  ,1046
lock-screen                ,1031
environment-variables      ,1028
16.10                      ,1027
netplan                    ,1009
