TagName                    ,Count
windows-10                 ,38724
microsoft-excel            ,25964
macos                      ,22054
ubuntu                     ,21972
hard-drive                 ,15404
wireless-networking        ,14911
command-line               ,13027
bash                       ,11734
google-chrome              ,11666
windows-8                  ,10548
windows-xp                 ,9226
worksheet-function         ,8149
microsoft-word             ,7592
partitioning               ,7359
ffmpeg                     ,7059
drivers                    ,6335
ssd                        ,6264
powershell                 ,5836
virtual-machine            ,5590
windows-8.1                ,5398
display                    ,5247
graphics-card              ,5182
multiple-monitors          ,5132
installation               ,4783
microsoft-excel-2010       ,4700
permissions                ,4310
windows-explorer           ,4189
shell                      ,4067
batch                      ,3992
vba                        ,3748
vim                        ,3723
pdf                        ,3711
external-hard-drive        ,3411
microsoft-office           ,3284
filesystems                ,3283
apache-http-server         ,3276
python                     ,3151
batch-file                 ,3082
cmd.exe                    ,3048
notepad++                  ,2895
windows-11                 ,2888
multi-boot                 ,2849
power-supply               ,2832
routing                    ,2807
ip                         ,2803
proxy                      ,2720
git                        ,2716
ethernet                   ,2558
wireless-router            ,2523
passwords                  ,2334
port-forwarding            ,2332
64-bit                     ,2320
virtualization             ,2285
data-recovery              ,2280
grub                       ,2274
microsoft-excel-2007       ,2267
printing                   ,2223
usb-flash-drive            ,2200
hdmi                       ,2141
regex                      ,2094
linux-mint                 ,2080
android                    ,2058
bluetooth                  ,2056
sync                       ,2044
php                        ,1993
hardware-failure           ,1987
mysql                      ,1943
uefi                       ,1914
openvpn                    ,1910
iptables                   ,1906
docker                     ,1904
gpu                        ,1859
arch-linux                 ,1853
putty                      ,1853
bsod                       ,1845
network-shares             ,1836
resolution                 ,1832
lan                        ,1818
ssl                        ,1808
sleep                      ,1771
macros                     ,1768
cygwin                     ,1755
images                     ,1747
internet-explorer          ,1719
raspberry-pi               ,1718
nas                        ,1716
user-accounts              ,1695
download                   ,1685
sata                       ,1669
windows-subsystem-for-linux,1665
dhcp                       ,1664
emacs                      ,1664
home-networking            ,1650
osx-snow-leopard           ,1639
microsoft-excel-2013       ,1614
microsoft-outlook-2010     ,1610
operating-systems          ,1582
charts                     ,1566
file-transfer              ,1554
ping                       ,1545
nvidia-graphics-card       ,1539
macbook                    ,1493
xorg                       ,1478
office365                  ,1467
shell-script               ,1449
hyper-v                    ,1445
microsoft-powerpoint       ,1442
microsoft-excel-2016       ,1436
login                      ,1426
colors                     ,1424
zsh                        ,1418
rsync                      ,1399
certificate                ,1397
automation                 ,1388
process                    ,1382
keyboard-layout            ,1363
autohotkey                 ,1357
connection                 ,1325
file-permissions           ,1324
file-management            ,1301
environment-variables      ,1299
ipv6                       ,1296
port                       ,1289
formatting                 ,1287
webserver                  ,1260
shortcuts                  ,1251
path                       ,1244
administrator              ,1243
google-chrome-extensions   ,1208
conversion                 ,1197
updates                    ,1192
streaming                  ,1190
osx-lion                   ,1181
iso-image                  ,1180
kali-linux                 ,1171
internet-connection        ,1170
nat                        ,1167
openssh                    ,1155
adobe-photoshop            ,1124
redhat-enterprise-linux    ,1124
software-rec               ,1120
grep                       ,1115
tmux                       ,1110
active-directory           ,1103
vmware-workstation         ,1103
logging                    ,1094
network-adapter            ,1087
services                   ,1076
lenovo-laptop              ,1065
microsoft-word-2010        ,1054
malware                    ,1054
group-policy               ,1053
find                       ,1044
sed                        ,1042
desktop-computer           ,1041
http                       ,1040
symbolic-link              ,1036
sftp                       ,1033
nginx                      ,1033
bootloader                 ,1029
wireless-access-point      ,1027
language                   ,1020
reboot                     ,1017
hibernate                  ,1016
anti-virus                 ,1007
power-management           ,1002
